год,Доходы-всего,налог на прибыль организаций,налог на доходы физических лиц,налог на имущество,безвозмездные поступления
2007,11837.0,853.5,2786.3,627.0,5695.8
2017,35065.8,5589.7,8830.6,1588.3,12989.4
